text,label
Ɛma me anigyeɛ sɛ mereyɛ abusuafoɔ no,positive
Ɔkwan a woyii me mu no ma me ho tɔ me,positive
Ɛma me anigyeɛ sɛ mereyɛ program yi,positive
Ɛma me anigyeɛ sɛ mereyɛ video yi,positive
"Nwedam no kɔɔ yie, na me ho tɔ me",positive
Ɛma me anigyeɛ sɛ mereyɛ sukuuyɛ yi,positive
M'ani gye film yi ho paa,positive
M'ani gye abusua afie ho paa,positive
Project yi ma me koma tɔ me yam,positive
M'ani gye dwom yi ho paa,positive
Ɛma me anigyeɛ sɛ mereyɛ akɔdeɛ yi,positive
Ɛma me anigyeɛ sɛ mereyɛ krataa yi,positive
M'ani gye training yi ho paa,positive
Ɛma me anigyeɛ sɛ mereyɛ project yi,positive
Me pɛ krataa yi paa,positive
Me pɛ nhwehwɛmu yi paa,positive
Ɛma me anigyeɛ sɛ mereyɛ adwumakuw yi,positive
Me pɛ apɔnkyerɛ yi paa,positive
Nsɛnnennen yi ma me hu nea ɛreba no yie,positive
M'ani gye project yi ho paa,positive
Kɔkɔbɔ yi ma me koma tɔ me yam,positive
Me pɛ dwom yi paa,positive
Nkyerɛkyerɛ no yɛ me dɛ paa,positive
Me pɛ nnamfonom yi paa,positive
Me pɛ kɔkɔbɔ yi paa,positive
Me pɛ video yi paa,positive
M'ani gye video yi ho paa,positive
M'ani gye asɔre yi ho paa,positive
Me pɛ wo paa,positive
M'ani gye akɔdeɛ yi ho paa,positive
Asɛm a wokaa no yɛ me dɛ,positive
Ɛyɛ anigye sɛ yɛahyia ɛnnɛ,positive
Me pɛ program yi paa,positive
Ɛma me anigyeɛ sɛ mereyɛ nhwehwɛmu yi,positive
Adwumakuw yi yɛ adwuma pa,positive
Ɛma me anigyeɛ sɛ mereyɛ training yi,positive
Nnamfonom yi ma me koma tɔ me yam,positive
Program yi ma me koma tɔ me yam,positive
Me pɛ film yi paa,positive
Me pɛ project yi paa,positive
Me pɛ akɔdeɛ yi paa,positive
M'ani gye sukuuyɛ yi ho paa,positive
Asɔre nnwom no ma me ho dɔ brɛ me,positive
Adwumakuw yi ma me koma tɔ me yam,positive
M'ani gye program yi ho paa,positive
M'ani gye bukuu yi ho paa,positive
Dwom yi ma me koma tɔ me yam,positive
M'ani gye adwumakuw yi ho paa,positive
Me pɛ adwuma yi paa,positive
Nhwehwɛmu yi ma me koma tɔ me yam,positive
Ɛma me anigyeɛ sɛ mereyɛ kurom ha asetena,positive
Me pɛ bukuu yi paa,positive
Me pɛ adwumakuw yi paa,positive
Me pɛ training yi paa,positive
Ɛma me anigyeɛ sɛ mereyɛ apɔnkyerɛ yi,positive
M'ani gye abusuafoɔ no ho paa,positive
Me mpɛ adwumakuw yi koraa,negative
Sɛnnahunu yi ma me werɛ aho,negative
Me mpɛ nnipa a wɔwɔ me ho no koraa,negative
Me mpɛ project yi koraa,negative
M'ani nnye ayisɛm yi ho koraa,negative
Mmra yi ma me werɛ aho,negative
Amammerɛ yi hyɛ me so yie,negative
Nnipakuw yi nteteɛ me yie,negative
Nnipa a wɔwɔ me ho no hyɛ me so yie,negative
M'ani nnye adwumakuw yi ho koraa,negative
Ɛnyɛ adeɛ pa koraa,negative
M'ani nnye dwom yi ho koraa,negative
Adwuma yi ma me werɛ aho,negative
Me mpɛ adwuma yi koraa,negative
Nteaseɛ nni asɛm a ɔkaeɛ no mu,negative
Me werɛ aho paa efisɛ biribiara rekɔ fam,negative
Ɛda yi nyɛ me yie koraa,negative
Nneyɛeɛ yi ma me werɛ aho,negative
Asɛmpɔw yi de yaw brɛ me,negative
Ayisɛm yi ma me werɛ aho,negative
Program yi ma me werɛ aho,negative
Me mpɛ mmra yi koraa,negative
Training yi hyɛ me so yie,negative
Dwom yi ma me werɛ aho,negative
M'ani nnye asetena yi ho koraa,negative
M'ani nnye training yi ho koraa,negative
Me mpɛ nhwehwɛmu yi koraa,negative
M'ani nnye ahyehyɛdeɛ yi ho koraa,negative
Sɛm a wɔkaeɛ no hyɛ me so yie,negative
Sukuuyɛ yi hyɛ me so yie,negative
Sɛm a wɔkaeɛ no ma me werɛ aho,negative
Asɛm a wokaa no yɛ me yaw,negative
Me mpɛ ayisɛm yi koraa,negative
Me mpɛ sɛnnahunu yi koraa,negative
Me mpɛ amammerɛ yi koraa,negative
Adesua a wɔrebɔ no yɛ den papa,negative
M'ani nnye nhwehwɛmu yi ho koraa,negative
Asetena yi hyɛ me so yie,negative
Adwuma yi hyɛ me so yie,negative
W'asɛm no hyɛɛ me werɛ aho,negative
M'ani nnye nneyɛeɛ yi ho koraa,negative
Ayisɛm yi hyɛ me so yie,negative
M'ani nnye project yi ho koraa,negative
Kwan a wɔfa so yɛ adeɛ no ma me werɛ aho,negative
Nhyiam no antwa me ho mu,negative
Project yi ma me werɛ aho,negative
Nhwehwɛmu yi hyɛ me so yie,negative
"Sɛ menka me nokware a, adwuma yi hyɛ me so",negative
Video yi ma me werɛ aho,negative
Me mpɛ sukuuyɛ yi koraa,negative
M'ani nnye amammerɛ yi ho koraa,negative
M'ani nnye kwan a wɔfa so yɛ adeɛ no ho koraa,negative
Me mpɛ sɛm a wɔkaeɛ no koraa,negative
Me mpɛ training yi koraa,negative
Nsɛmmɔne a merehu no dɔɔso,negative
Program yi hyɛ me so yie,negative
M'ani nnye sukuu amammerɛ yi ho,negative
M'ani nnye mmra yi ho koraa,negative
Me mpɛ asɛm a ɛrekɔ so no koraa,negative
Nhwehwɛmu yi ma me werɛ aho,negative
M'ani nnye sɛm a wɔkaeɛ no ho koraa,negative
Dwom yi hyɛ me so yie,negative
Kwan a wɔfa so yɛ adeɛ no hyɛ me so yie,negative
Asetena yi ma me werɛ aho,negative
M'adwumayɛfoɔ no mfa me nnyɛ yiye,negative
Me mpɛ ahyehyɛdeɛ yi koraa,negative
Me mpɛ dwom yi koraa,negative
Nneyɛeɛ yi hyɛ me so yie,negative
Dwom yi nyɛ me dɛ koraa,negative
Ahyehyɛdeɛ yi ma me werɛ aho,negative
Asɛm yi brɛ me koma,negative
M'ani nnye sɛnnahunu yi ho koraa,negative
M'ani nnye sukuuyɛ yi ho koraa,negative
Tɛkrɛma a wokɔfa no ka asɛm no mu yɛ me yaw,negative
Me mpɛ asetena yi koraa,negative
Me mpɛ kwan a wɔfa so yɛ adeɛ no koraa,negative
M'ani nnye nnipa a wɔwɔ me ho no ho koraa,negative
Mmra yi hyɛ me so yie,negative
Asɛm a ɛrekɔ so no ma me werɛ aho,negative
M'ani nnye asɛm a ɛrekɔ so no ho koraa,negative
Nnipa a wɔwɔ me ho no ma me werɛ aho,negative
Ahyehyɛdeɛ yi hyɛ me so yie,negative
Project yi hyɛ me so yie,negative
M'ani nnye program yi ho koraa,negative
M'ani nnye video yi ho koraa,negative
Amammerɛ yi ma me werɛ aho,negative
Me mpɛ program yi koraa,negative
Ɔkwan a wɔde di dwuma yi ho nsɛm no nyɛ me dɛ,negative
Sukuuyɛ yi ma me werɛ aho,negative
"Mepɛ sɛ mekɔ, nanso me ho nni mu",negative
Video yi hyɛ me so yie,negative
Adwumakuw yi hyɛ me so yie,negative
Asɛm a ɛrekɔ so no hyɛ me so yie,negative
Adwumakuw yi ma me werɛ aho,negative
Sɛnnahunu yi hyɛ me so yie,negative
Me mpɛ nneyɛeɛ yi koraa,negative
M'ani nnye adwuma yi ho koraa,negative
Me mpɛ video yi koraa,negative
Training yi ma me werɛ aho,negative
Mete maket seesei,neutral
Mehyɛ adwuma da ahe na mete fie da ahe,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ class mu,neutral
"Sɛ ɛbɔ a, merekɔ kurom",neutral
Merekyerɛw nsɛm fa TV no ho,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ adwumadan,neutral
Merehwɛ project yi seesei,neutral
Mete fie seesei,neutral
Medi aduane ansa na merekɔ adwuma,neutral
Merekyerɛw nsɛm fa nkrataa no ho,neutral
Merekenkan bukuu bi ara,neutral
Me ho te saa ara,neutral
Merekɔ asɔre anɔpa yi,neutral
Merehwɛ nhoma ketewa yi seesei,neutral
Merekɔ office mu anɔpa yi,neutral
Merekyerɛw nsɛm fa bukuu no ho,neutral
Merekyerɛw nsɛm fa adwumadie yi ho,neutral
Merekenkan email no mpo,neutral
Mete dan mu seesei,neutral
Merekyerɛw nsɛm fa asɛm no ho,neutral
Merekɔ adwumadan anɔpa yi,neutral
Merekyerɛw nsɛm fa krataa yi ho,neutral
Merekɔ Accra anɔpa yi,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ Takoradi,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ asɔre,neutral
Merekenkan krataa yi mpo,neutral
Mete asɔre seesei,neutral
Mete lab mu seesei,neutral
Merekɔ maket anɔpa yi,neutral
Merekɔ asɔre da kɔsi da,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ Kumasi,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ kɔntɔnkye mu,neutral
Merehwɛ TV no seesei,neutral
Merekenkan file yi mpo,neutral
Mete Accra seesei,neutral
Merekɔ fie anɔpa yi,neutral
Merekenkan nhwehwɛmu yi mpo,neutral
Merekɔ class mu anɔpa yi,neutral
Merekenkan video yi mpo,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ Accra,neutral
Merekenkan nkrato no mpo,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ maket,neutral
Merehwɛ nkrataa no seesei,neutral
Merekenkan bukuu no mpo,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ office mu,neutral
Merekyerɛw nsɛm fa nkrato no ho,neutral
Mete adwumadan seesei,neutral
Merehwɛ file yi seesei,neutral
Merekenkan nkrataa no mpo,neutral
Merehwɛ asɛm no seesei,neutral
Merekɔhyia me nnamfonom akyiri,neutral
Merekɔtɔ aduane afeda yi,neutral
Merehwɛ email no seesei,neutral
Merekyerɛw nsɛm fa nhwehwɛmu yi ho,neutral
Ɛnnɛ mewɔ fie,neutral
Mete sukuu seesei,neutral
Merekenkan project yi mpo,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ lab mu,neutral
Merekenkan asɛm no mpo,neutral
Merekɔ sukuu anɔpa,neutral
Merehwɛ nhwehwɛmu yi seesei,neutral
Merekɔ dan mu anɔpa yi,neutral
Merekɔ Takoradi anɔpa yi,neutral
Merekɔ lab mu anɔpa yi,neutral
Merehwɛ nhoma no seesei,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ sukuu,neutral
Merekɔ adwuma anɔpa 8,neutral
Merekenkan TV no mpo,neutral
Anɔpa yi mewɔ sukuu mu,neutral
Merekɔ kɔntɔnkye mu anɔpa yi,neutral
Merehwɛ TV anɔpa yi,neutral
Merekyerɛw nsɛm fa file yi ho,neutral
Merekyerɛw nsɛm fa video yi ho,neutral
Merekyerɛw nsɛm fa nhoma no ho,neutral
Merekyerɛw nsɛm fa dwom yi ho,neutral
Merekenkan nhoma no mpo,neutral
Merehwɛ asɛm no mu yie ansa na meka bi,neutral
Merekyerɛw adwumadie bi nti mete laptop anim,neutral
Merekenkan nhoma ketewa yi mpo,neutral
Mete Accra,neutral
Merehwɛ nkrato no seesei,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ dan mu,neutral
Merekasa wɔ me nnamfonom ho WhatsApp,neutral
Merehwɛ video yi seesei,neutral
Mete station seesei,neutral
Mete office mu seesei,neutral
Mete kurom seesei,neutral
Merekenkan adwumadie yi mpo,neutral
Merekyerɛw nsɛm fa email no ho,neutral
Merekɔ sukuu anɔpa yi,neutral
Merehwɛ dwom yi seesei,neutral
Mete Kumasi seesei,neutral
Mete class mu seesei,neutral
Merekɔ Kumasi anɔpa yi,neutral
Merehwɛ akontaabu no,neutral
Mete kɔntɔnkye mu seesei,neutral
Merekenkan dwom yi mpo,neutral
Merehwɛ krataa yi seesei,neutral
Merekɔ station anɔpa yi,neutral
Ɛnnɛ da no mereyɛ adwuma wɔ station,neutral
